year,Value,,,,,
1990, 11.4062154229001 ,,,,,
1991, 12.0860483295189 ,,,,,
1992, 18.2887636407243 ,,,,,
1993, 23.3127094032321 ,,,,,
1994, 23.6202518154446 ,,,,,
1995, 20.7484646006195 ,,,,,
1996, 28.998932206368 ,,,,,
1997, 36.1810682331765 ,,,,,
1998, 37.8874020700732 ,,,,,
1999, 34.1660666162862 ,,,,,
2000, 42.2680228074442 ,,,,,
2001, 40.3670148365145 ,,,,,
2002, 25.9234998235722 ,,,,,
2003, 26.4388579701898 ,,,,,
2004, 18.2775968247204 ,,,,,
2005, 15.2894755476713 ,,,,,
2006, 15.3846753757717 ,,,,,
2007, 12.0516996364547 ,,,,,
2008, 14.1424226696044 ,,,,,
2009, 18.1939963389325 ,,,,,
2010, 18.6189228482747 ,,,,,
2011, 13.7983892597429 ,,,,,
2012, 15.7089145528738 ,,,,,
2013, 23.4729026004165 ,,,,,
2014, 29.5882506572902 ,,,,,
2015, 30.688324332146 ,,,,,
2016, 33.4038513861879 ,,,,,
2017, 0 ,,,,,
