Year,Value,,,,,,,,,,,,,,,,,
1990, 70.1576375482343 ,,,,,,,,,,,,,,,,,
1991, 76.4489331507897 ,,,,,,,,,,,,,,,,,
1992, 48.3907947036725 ,,,,,,,,,,,,,,,,,
1993, 51.4122858369816 ,,,,,,,,,,,,,,,,,
1994, 60.1690458937083 ,,,,,,,,,,,,,,,,,
1995, 67.1599451114199 ,,,,,,,,,,,,,,,,,
1996, 59.2719137770064 ,,,,,,,,,,,,,,,,,
1997, 59.845682757537 ,,,,,,,,,,,,,,,,,
1998, 64.2411593966919 ,,,,,,,,,,,,,,,,,
1999, 62.4661874917278 ,,,,,,,,,,,,,,,,,
2000, 63.93004931987 ,,,,,,,,,,,,,,,,,
2001, 71.1995473106748 ,,,,,,,,,,,,,,,,,
2002, 79.711798006852 ,,,,,,,,,,,,,,,,,
2003, 73.7282039683967 ,,,,,,,,,,,,,,,,,
2004, 72.4219369166511 ,,,,,,,,,,,,,,,,,
2005, 77.4593965989236 ,,,,,,,,,,,,,,,,,
2006, 63.7726508797269 ,,,,,,,,,,,,,,,,,
2007, 64.0359108172347 ,,,,,,,,,,,,,,,,,
2008, 59.9375818687797 ,,,,,,,,,,,,,,,,,
2009, 67.4129315569898 ,,,,,,,,,,,,,,,,,
2010, 67.0350633575493 ,,,,,,,,,,,,,,,,,
2011, 86.9459527581216 ,,,,,,,,,,,,,,,,,
2012, 74.042957024827 ,,,,,,,,,,,,,,,,,
2013, 68.2084382606372 ,,,,,,,,,,,,,,,,,
2014, 74.8738161427455 ,,,,,,,,,,,,,,,,,
2015, 76.0604244676613 ,,,,,,,,,,,,,,,,,
2016, 63.6428725054838 ,,,,,,,,,,,,,,,,,
2017, 76.872776538884 ,,,,,,,,,,,,,,,,,
