Year,Location,Sex,Age,Geography,Highest Education Level,Disability,Value
2017,,,,,,,14.10526976
2017,,,,Western,,,12.67436478
2017,,,,Central,,,11.65994852
2017,,,,Greater Accra,,,17.03972538
2017,,,,Volta,,,8.694469693
2017,,,,Eastern,,,12.72448765
2017,,,,Ashanti,,,15.4628771
2017,,,,Brong Ahafo,,,9.008104695
2017,,,,Northern,,,14.69768053
2017,,,,Upper East,,,24.80096592
2017,,,,Upper West,,,23.2373338
2017,Urban,,,,,,16.67289821
2017,Urban,,,Western,,,19.66879158
2017,Urban,,,Central,,,13.48155793
2017,Urban,,,Greater Accra,,,17.52305555
2017,Urban,,,Volta,,,9.849896988
2017,Urban,,,Eastern,,,17.04813333
2017,Urban,,,Ashanti,,,17.45469622
2017,Urban,,,Brong Ahafo,,,11.288249
2017,Urban,,,Northern,,,20.73688708
2017,Urban,,,Upper East,,,20.01416482
2017,Urban,,,Upper West,,,24.87376134
2017,Rural,,,,,,11.34924833
2017,Rural,,,Western,,,7.602677166
2017,Rural,,,Central,,,10.03371555
2017,Rural,,,Greater Accra,,,12.26600722
2017,Rural,,,Volta,,,8.129778109
2017,Rural,,,Eastern,,,9.603021612
2017,Rural,,,Ashanti,,,12.23998225
2017,Rural,,,Brong Ahafo,,,7.158104454
2017,Rural,,,Northern,,,11.98770466
2017,Rural,,,Upper East,,,26.12697135
2017,Rural,,,Upper West,,,22.90058726
2017,,Male,,,,,11.41793067
2017,,Male,,Western,,,10.10085991
2017,,Male,,Central,,,8.868549533
2017,,Male,,Greater Accra,,,15.08580719
2017,,Male,,Volta,,,6.505005952
2017,,Male,,Eastern,,,10.03750423
2017,,Male,,Ashanti,,,11.05247344
2017,,Male,,Brong Ahafo,,,6.141928781
2017,,Male,,Northern,,,12.63091847
2017,,Male,,Upper East,,,25.68356777
2017,,Male,,Upper West,,,19.7123174
2017,,Female,,,,,16.47708345
2017,,Female,,Western,,,15.07688392
2017,,Female,,Central,,,13.83711275
2017,,Female,,Greater Accra,,,18.76326743
2017,,Female,,Volta,,,10.54762479
2017,,Female,,Eastern,,,15.17957771
2017,,Female,,Ashanti,,,19.39588575
