17.3.1,"Foreign direct investments (FDI), official development assistance and South- South Cooperation as a proportion of total domestic budget.",,," Foreign direct investment (FDI) is an investment made by a company or individual in one country in business interests in another country, in the form of either establishing business operations or acquiring business assets in the other country, such as ownership or controlling interest in a company.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Year, Annual average Interbank GhC-US$ Rate,Foreign direct investments (US$),Foreign direct investments (Ghc),ODA (Ghc),Total Expenditure (GHc),Sdg_17.3.1 (%),,,,,,,,,,,,,,,
1990,,,,," 34,137,552.0 ", -   ,,,,,,,,,,,,,,,
1991,,,,," 46,352,380.0 ", -   ,,,,,,,,,,,,,,,
1992,,,,," 68,930,465.4 ", -   ,,,,,,,,,,,,,,,
1993,,,,," 112,449,970.0 ", -   ,,,,,,,,,,,,,,,
1994,,,,," 162,175,415.2 ", -   ,,,,,,,,,,,,,,,
1995,,,,," 235,944,802.7 ", -   ,,,,,,,,,,,,,,,
1996,,,,," 337,019,150.0 ", -   ,,,,,,,,,,,,,,,
1997,,,,," 408,837,010.0 ", -   ,,,,,,,,,,,,,,,
1998,,,,," 494,465,858.0 ", -   ,,,,,,,,,,,,,,,
1999,,,,," 538,912,992.0 ", -   ,,,,,,,,,,,,,,,
2000,,,,," 752,495,900.0 ", -   ,,,,,,,,,,,,,,,
2001,,,,," 969,760,000.0 ", -   ,,,,,,,,,,,,,,,
2002,,,,," 1,225,350,435.3 ", -   ,,,,,,,,,,,,,,,
2003,,,,," 1,863,985,608.9 ", -   ,,,,,,,,,,,,,,,
2004,,,,," 2,623,244,177.0 ", -   ,,,,,,,,,,,,,,,
2005,,,,," 2,989,467,526.8 ", -   ,,,,,,,,,,,,,,,
2006,,,,," 4,009,417,460.7 ", -   ,,,,,,,,,,,,,,,
2007,,,,," 5,701,486,365.8 ", -   ,,,,,,,,,,,,,,,
2008,,,,," 8,012,345,793.2 ", -   ,,,,,,,,,,,,,,,
2009,,,,," 8,416,754,476.3 ", -   ,,,,,,,,,,,,,,,
2010, 1.4 ," 1,124,159,731.0 "," 1,608,119,863 ",," 11,532,209,320.0 ", 13.9 ,,,,,,,,,,,,,,,
2011, 1.5 ," 6,821,492,792.4 "," 10,326,091,560 ",," 13,429,723,390.3 ", 76.9 ,,,,,,,,,,,,,,,
2012, 1.8 ," 4,900,229,561.6 "," 8,859,778,388 ",," 20,944,723,341.2 ", 42.3 ,,,,,,,,,,,,,,,
2013, 2.0 ," 3,945,657,934.5 "," 7,775,938,255 ",," 27,463,039,402.9 ", 28.3 ,,,,,,,,,,,,,,,
2014, 2.9 ," 3,387,162,655.7 "," 9,947,983,814 ",," 31,962,206,270.5 ", 31.1 ,,,,,,,,,,,,,,,
2015, 3.8 ," 2,329,308,192.5 "," 8,784,733,506 ",," 38,589,912,790.5 ", 22.8 ,,,,,,,,,,,,,,,
2016, 3.9 ," 2,633,483,160.5 "," 10,336,267,785 ",," 51,125,042,600.4 ", 20.2 ,,,,,,,,,,,,,,,
2017, 4.4 ," 3,252,900,561.5 "," 14,152,177,613 ",," 51,985,948,597.1 ", 27.2 ,,," 14,152,177,613 ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Note: Only FDI was available for the estimation of indicator,No data on ODA. Estimate is therefore a proxy for Sdg 17.3.1",,,,,,,,,,,,,,,,,,,,,
